2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
,5,36,52,70,116,143,228,304,384,458,641,706,834,915,915,953,984,1049,1095,1129,1160,1206,1232,1254,1267,1278,1280,1283,1292,1296,1300,1303,1305,1306,1307,1307,1307,1307,随州,Suizhou,159.741874640255,55.0134151362414,200.758724813845,0,188.101879001615
1,1,1,1,2,2,2,3,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,雅安,Yaan,1092.69743328433,1067.02130483394,1146.47464686085,1014.00089017946,893.902502988809
3,4,6,10,13,15,18,21,21,22,25,29,34,41,43,44,46,49,53,53,53,53,55,56,57,57,58,59,59,59,59,59,60,60,60,60,60,60,60,青岛,Qingdao,832.253145791844,750.49582707724,805.122554462453,803.600612400973,986.037551896671
,,,,,,,,1,,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,鞍山,Anshan,1405.04480697349,1295.89397417434,1385.87648637208,1343.54615812757,1531.62949699429
,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,韩城,Hancheng,656.748944229258,507.801712138138,694.056341962559,497.056753032858,593.869039239103
3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,7,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,韶关,Shaoguan,633.092724256501,785.164289595309,632.684044024008,762.601270811948,623.655720983519
,,,,,,,,,,,,,,21,25,26,26,38,49,50,53,56,56,57,58,61,63,67,68,69,74,79,84,89,92,94,94,96,香港,Xianggang,922.049691200692,1077.19895056432,916.165061010064,1057.03511206058,919.900274575996
,4,7,7,10,11,14,14,22,27,28,28,30,30,30,30,31,31,31,32,32,32,34,35,36,36,36,37,37,37,38,38,38,38,38,38,38,38,38,马鞍山,Maanshan,414.415691092244,434.85049698359,366.425213188128,484.127055720458,611.338327327162
,2,7,9,10,16,25,30,40,46,58,72,82,98,106,106,113,116,123,126,128,134,137,138,138,138,139,139,139,139,139,139,139,139,139,139,139,139,139,驻马店,Zhumadian,274.150983133795,118.002556631777,292.934065666686,152.400849309758,338.525751006102
,,,,,1,1,2,4,4,6,9,12,21,29,29,31,34,34,38,43,44,44,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,鸡西,Jixi,2190.50326400871,2092.25684826449,2165.81401998241,2141.71672765742,2329.25930294334
,,,2,2,5,6,6,6,8,8,10,10,10,11,11,13,17,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,鹤壁,Hebi,596.830409672939,442.119052731346,609.060406724861,469.614576058994,643.106658195113
,,,,,,1,1,1,1,1,2,2,2,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,鹤岗,Hegang,2315.01991202831,2205.77375479624,2294.63337999805,2252.76797474566,2440.85615581392
,,,,1,1,3,4,4,8,8,8,9,9,10,10,11,11,12,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,鹰潭,Yingtan,365.553985500984,507.1120398217,321.864751400241,522.357921753274,519.442217800233
12,64,122,154,213,324,496,573,726,1002,1246,1422,1645,1807,1897,1897,2041,2141,2252,2332,2398,2662,2791,2817,2823,2831,2828,2844,2839,2883,2899,2904,2904,2904,2904,2904,2904,2904,2905,黄冈,Huanggang,54.4968338157273,187.881106935653,0,200.758724813845,252.865795362741
,,1,1,4,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,黄山,Huangshan,363.031455890969,437.267487773273,308.878272706199,476.213078981237,561.303413323888
,,31,36,53,86,113,168,209,252,334,405,509,566,635,635,703,760,805,835,874,911,943,980,988,983,985,983,967,992,997,1001,1005,1008,1011,1013,1013,1013,1014,黄石,Huangshi,82.9537910469808,221.466964878523,33.9934670637443,234.583030364296,274.455795069666
,,,,,,,,,1,1,1,1,1,1,1,2,2,4,4,6,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,黑河,Heihe,2450.31064981709,2324.06384040584,2437.85265695065,2365.82595560068,2551.30065240108
,,,,,,1,1,2,4,4,4,5,5,5,5,5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,黔东南苗族侗族自治州,Qiandongnanmiaozudongzuzizhizhou,756.941426839372,825.175854734159,797.749354491341,773.839866264755,588.439795205911
1,1,1,2,4,4,4,4,4,5,5,6,6,6,7,7,7,7,8,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,黔南布依族苗族自治州,Qiannanbuyizumiaozuzizhizhou,815.058053506179,882.509623431363,855.773921295083,830.9327748202,645.981636001993
,,1,1,1,1,1,1,1,1,1,2,,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,黔西南布依族苗族自治州,Qianxinanbuyizumiaozuzizhizhou,1104.28351148266,1161.00920923258,1146.61159527535,1107.82773318093,927.474572554652
,,1,1,2,3,3,3,3,3,3,6,20,26,27,27,27,27,30,32,33,33,36,36,38,42,43,43,43,43,43,43,43,43,43,43,43,43,43,齐齐哈尔,Qiqihaer,2041.74010328132,1912.79977297108,2031.08101456841,1953.75024822885,2138.62203161097
,,,,,1,1,1,1,1,1,2,2,2,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,龙岩,Longyan,654.799905292121,812.302369494033,626.090051813501,812.989367828906,744.599212421539
