2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
,,,,1,3,3,7,8,11,11,11,12,17,19,19,23,27,28,31,33,35,43,46,51,51,51,55,56,57,57,58,58,58,58,58,58,58,58,唐山,Tangshan,1065.53880138557,932.400688609942,1059.08929599067,972.849955223967,1157.88042476498
,,,6,7,14,18,27,29,36,50,60,61,65,72,72,76,82,83,86,86,87,88,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,商丘,Shangqiu,452.574886102087,323.167108873981,449.597271970417,368.879091717351,556.958159194156
,,,1,2,2,2,2,2,2,2,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,商洛,Shangluo,555.362117920109,430.441557099302,601.334109653601,401.585373202836,449.015608479839
1,4,8,8,11,14,16,16,16,19,19,23,27,30,35,35,37,38,40,40,42,42,42,43,43,43,43,44,45,45,45,45,45,45,45,45,45,45,45,嘉兴,Jiaxing,618.80774648298,664.06500661635,565.943006217135,710.746803721196,818.541125426711
,,,1,1,1,1,1,1,1,4,7,8,9,9,10,10,12,12,12,12,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,四平,Siping,1663.226453349,1550.80979740407,1644.96964133002,1597.38926950148,1785.44276512588
,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,固原,Guyuan,963.982776372569,838.077566560319,1010.57611737142,810.894452955219,839.668374658222
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,固始,Gushi,224.636703496025,169.451956855079,206.730511250655,223.224870620762,385.649136009572
,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,大兴安岭,Daxinganling,2519.03638462851,2381.41222478738,2513.17451572629,2418.18984484454,2598.32971671813
,1,1,1,1,3,4,5,6,8,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,大同,Datong,1069.02342142466,911.524397146145,1083.36327225095,932.313451248726,1090.10889914789
1,1,3,5,5,5,5,7,8,8,11,11,11,13,13,13,13,13,13,14,15,15,18,19,19,20,20,23,26,26,26,26,26,26,26,26,26,26,26,大庆,Daqing,2008.46570976873,1885.21847673534,1994.84454655051,1928.28923822681,2114.83256147151
,,1,1,3,3,4,6,6,7,7,7,7,8,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,大理白族自治州,Dalibaizuzizhizhou,1486.95029542747,1507.44170071795,1535.57972427145,1452.4292325401,1292.73524785739
1,2,4,4,5,5,5,7,8,10,12,12,13,14,14,14,16,16,16,16,16,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,大连,Dalian,1146.53752968626,1044.83867021383,1125.06705852049,1094.45127056344,1281.87104982846
,,,,1,1,2,2,3,3,8,10,10,10,9,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,天水,Tianshui,926.877386470684,821.243900280624,977.532627414088,784.998717137781,776.428617572643
5,8,10,14,23,24,27,31,32,41,48,60,67,69,79,81,88,91,95,106,112,119,120,122,124,125,128,130,131,133,135,135,135,135,135,136,136,136,136,天津,Tianjin,990.925819154681,853.620655018117,987.242201413114,892.323349345238,1075.94276493353
,3,5,13,23,34,44,67,82,99,115,117,128,138,163,163,179,197,217,261,293,362,416,422,447,485,500,486,473,492,493,494,494,495,496,496,496,496,496,天门,Tianmen,114.439424419651,159.456898255857,168.919205542341,120.933133706415,91.8681235574949
